chunk_id,paper_id,chunk_text
CHK_EVAL_10,PPR_5e1618fd,"Title: Detection of central nervous system viral infections in adults in Manado, North Sulawesi, Indonesia. Abstract: Central nervous system (CNS) viral infections are important causes of morbidity and mortality worldwide but the systematic survey of patients admitted to hospitals with CNS infections in many countries, including Indonesia, is limited. To obtain more information regarding the causes of CNS infections in Indonesia, this study was performed to detect and identify viral agents associated with CNS infections amongst in-patients at a referral hospital in Manado, North Sulawesi, Indonesia. Adult patients admitted to R.D. Kandou General Hospital with presumed CNS infection were enrolled. Cerebrospinal fluid, serum, and throat swab samples were collected and tested using molecular, serological, and virus isolation assays. A confirmed viral etiology was established in three and a probable/possible in 11 out of 74 patients."
CHK_EVAL_11,PPR_5e1618fd,"The most common was herpes simplex virus 1 (7/74, 9.5%). There were 20 fatal cases (27.0%) during hospitalization in which eight were associated with viral causes. We identified herpes simplex virus 1 as the most common cause of CNS infection among adults in North Sulawesi with most of the cases remaining undiagnosed."
CHK_EVAL_12,PPR_84933f22,"Title: Effectiveness of Combined Acupuncture Therapy and Turmeric (Curcuma longa Linn) on Blood Protein Profile in Osteoarthritis Patients
Abstract: Background: Osteoarthritis (OA) is a degenerative disease of the joints that commonly occurs in the hands, waist, and knees. One of the efforts to control OA is with acupuncture. This study aims to analyze the effectiveness of the combination of acupuncture and turmeric herbs on reducing the levels of total protein, albumin, and globulin in OA patients. Methods: The Randomized Controlled Trial (RCT) study was conducted at Redy Clinical Laboratory in August 2024. A total of 50 patients with OA were divided into two groups: (1) Intervention group of combination of acupuncture and turmeric herbs (n= 25); and (2) The control group was given acupuncture (n=25). The dependent variables are total protein, albumin, and globulin."
CHK_EVAL_13,PPR_84933f22,"The independent variable was a combination of acupuncture and turmeric herbs. The difference in the average increase in protein, albumin, and globulin levels in each group was analyzed using the Independent test. Results: The average protein level in the combination group of acupuncture therapy and turmeric herbs (Mean= 8.40; SD= 0.27) was higher than the control group (Mean= 7.74; SD= 0.33), and this result was statistically significant (p <0.001). The average albumin level in the combination group of acupuncture therapy and turmeric herbs (Mean= 5.07; SD= 0.49) was higher than the control group (Mean= 4.84; SD= 0.66), but this result was statistically insignificant (p= 0.156). The average globulin levels in the combination group of acupuncture therapy and turmeric herbs (Mean= 3.41; SD= 0.88) were higher than the control group (Mean= 3.17; SD= 0.65), but this result was statistically insignificant (p = 0.280). Conclusion: The combination of acupuncture therapy and turmeric herbs is effective in increasing total protein, albumin, and globulin levels in OA patients. Keywords: acupuncture, hypnotherapy, osteoarthritis patients, protein levels, turmeric herbs."
CHK_EVAL_14,PPR_3fe971e2,"Title: HELLP syndrome as a major contributor to adverse maternal and neonatal outcomes among preeclamptic women: findings from a multicenter retrospective cohort study
Abstract: Objective: HELLP syndrome, a severe complication of preeclampsia, is associated with increased maternal and neonatal morbidity and mortality. This study aims to evaluate maternal and perinatal outcomes in preeclamptic women with and without HELLP syndrome in Indonesia. Methods: A multicenter retrospective cohort study was conducted across 30 hospitals in Indonesia from January 2022 to December 2023. Data from 1,808 preeclamptic women were analyzed, with 219 (12.1%) classified as having HELLP syndrome."
CHK_EVAL_15,PPR_3fe971e2,"Maternal and perinatal outcomes were compared between the HELLP and non-HELLP groups. Results: Women with HELLP syndrome had significantly higher risks of severe complications, including eclampsia, acute kidney injury, emergency hypertension, preterm birth <37 weeks, and preterm birth <34 weeks. HELLP syndrome increased the risk of Intra-uterine fetal death and neonatal sepsis. Although the multivariate analysis did not yield any significant results, the HELLP syndrome group has a substantially higher prevalence of maternal death (3.7%) and neonatal death (11.6%). Conclusion: HELLP syndrome significantly worsens maternal and neonatal outcomes in preeclampsia, reflecting a need for improved early detection of 'high-risk' preeclamptic women. Further research is needed to identify other markers that would assist in a more timely diagnosis of impending HELLP syndrome, particularly in early-onset preeclampsia patients managed conservatively. "
CHK_EVAL_16,PPR_e4e4d74e,"Title: Determining the Risk Factors of Postpartum Hemorrhage in Maternal Mothers at Anutapura Public Hospital, Palu
Abstract: Postpartum hemorrhage is one of the factors causing maternal mortality in Indonesia. In this study, the type of study was observational with a case-control approach. The subject of the study was mothers having a postpartum hemorrhage. The total sample of this study was 150 people (50 people as the case group and 100 people as the control group). Sampling was done using a total sampling technique."
CHK_EVAL_17,PPR_e4e4d74e,"The data were analyzed using an odds ratio test with α=5%. This study showed that anemia (OR=2.874 and CI=1.421-5.812), parity (OR=3.995 and CI=1.952-8.174), and age (OR=2.874 and CI=1.421-5.812) were the risk factors of postpartum hemorrhage in women."
CHK_EVAL_18,PPR_a5e6e48b,"Title: Understanding the determinants of maternal mortality: An observational study using the Indonesian Population Census
Abstract: For countries to contribute to Sustainable Development Goal 3.1 of reducing the global maternal mortality ratio (MMR) to less than 70 per 100,000 live births by 2030, identifying the drivers of maternal mortality is critically important. This paper overcomes the problem of insufficient observations of maternal death by utilizing census data in the context of Indonesia."
CHK_EVAL_19,PPR_a5e6e48b,It merges individual-level data on pregnancy-related deaths and households' socio-economic status from the 2010 Indonesian population census with detailed data on the availability and quality of local health services from the Village Census. The study uses these data to test the hypothesis that health service access and quality are important determinants of maternal death and explains the differences between high maternal mortality and low maternal mortality provinces.
CHK_EVAL_20,PPR_601c1c4a,"Title: Patient-reported outcomes and quality of life after pelvic organ prolapse surgery in Indonesia
Abstract: This cross-sectional study analyzed secondary data from medical records and patient interviews at Cipto Mangunkusumo Hospital, Jakarta, to evaluate patient-reported outcomes and quality of life with the Pelvic Floor Disability Index (PFDI-20) and Pelvic Floor Impact Questionnaire (PFIQ-7) following pelvic organ prolapse (POP) surgery. Among 34 patients, the most common surgical method was total vaginal hysterectomy (79%). Postoperative PFDI-20 scores showed 76% of patients experienced minimal to no impact, while PFIQ-7 scores indicated 91% reported minimal to no impact on their quality of life."
CHK_EVAL_21,PPR_601c1c4a,"Two patients reported moderate impact, particularly in the urinary domain. No patients experienced severe or very severe impairment at any follow-up interval. Incorporating patient-reported outcomes with anatomical assessments provides a more accurate evaluation of surgical success in POP based on PFDI-20 and PFIQ-7 scores."
CHK_EVAL_22,PPR_ed88eea4,"Title: Reality of implementation, barriers, and local-based innovations of stunting reduction programs in Papua region, Indonesia: A systematic review
Abstract: Stunting remains a major public health problem in Indonesia, with a disproportionate burden in Papua, where many districts are classified as 3T regions (frontier, outermost, and least-developed areas) characterized by limited infrastructure, restricted access to services, and distinct socio-cultural challenges. The aim of this study was to comprehensively examine the implementation of stunting reduction programs in Papua's 3T regions, including program delivery, barriers, and local innovations, through a systematic review. Articles were identified through searches of five major databases and grey literature and were selected using the PRISMA framework. Eligible studies reported on program implementation, barriers, risk factors, and/or strategies related to stunting reduction in Papua."
CHK_EVAL_23,PPR_ed88eea4,"A total of 45 studies met the inclusion criteria and were synthesized using a thematic narrative approach. The review indicated that stunting reduction efforts in Papua have included both nutrition-specific and nutrition-sensitive interventions, supported by the establishment of acceleration teams, the use of integrated health service posts, and community-based approaches."
CHK_EVAL_24,PPR_9e7afccf,"Title: Exploring the diet-microbiome-growth axis among under-2-year-old children: a case-control study in East Lombok, Indonesia. Abstract: Previous studies have compared the microbiota profiles of stunted and non-stunted children. However, how these profiles interact with dietary patterns is not completely understood. To assess differences in microbial diversity, composition and bacteria taxa between stunted and non-stunted children and how the consumption of food groups influence the gut microbiota of stunted children, this matched case-control study was conducted among 150 pairs of stunted and non-stunted children of between 18-23 months old in East Lombok, Indonesia. Anthropometry and dietary data were collected by trained enumerators."
CHK_EVAL_25,PPR_9e7afccf,"Microbiome data were generated by sequencing the V4 hypervariable region of the 16S rRNA gene. No between-group differences in alpha and beta diversity were observed. Exploratory analysis identified that Agathobacter, Coprococcus, Dorea, Hominimerdicola, Lawsonibacter and Ruminococcoides were more proportionally abundant among non-stunted children and Peptostreptococcus among stunted children. However, there was no association between food group consumption and abundance of these taxa. Breastfeeding significantly shaped the microbiota profiles. Future research on the association between microbiota profiles and complementary feeding should incorporate approaches such as diet modelling to capture the combined contributions of food groups and dietary components, alongside longitudinal study designs."
CHK_EVAL_26,PPR_97f3e130,"Title: Does stunting modify the impact of salivary factors and early childhood caries on oral health-related quality of life? Abstract: This analytical cross-sectional study included 210 preschool children aged 24-59 months in Bandung, Indonesia, equally divided into stunted and non-stunted groups based on height-for-age z-scores. Dental caries was assessed using the deft index, while salivary pH and buffering capacity were measured using the GC Saliva Check Buffer Test. OHRQoL was evaluated using a modified Early Childhood Oral Health Impact Scale with a dichotomous response format. Statistical analyses included Mann-Whitney U, Chi-square, and t-tests, followed by logistic regression with interaction terms to examine effect modification by stunting."
CHK_EVAL_27,PPR_97f3e130,"Non-stunted children had higher mean deft scores and less frequent acidic saliva compared to stunted children. However, no significant differences were observed in ECOHIS total scores or in the impact of OHRQoL between groups. Logistic regression revealed no significant interactions between stunting, ECC, salivary pH, or buffering capacity."
CHK_EVAL_28,PPR_751ec67b,"Title: Anticoagulant Management of Mechanical Heart Valve Patients during Perioperative Surgery: A Case Report
Abstract: A 26-year-old pregnant woman with a mechanical mitral valve underwent elective Sectio Caesarian Transperitonealis (SCTP) surgery and Intra Uterine Device (IUD) insertion. The patient had a history of mitral valve replacement surgery in 2014 and was routinely treated with 4 mg of warfarin at night. We decided to interrupt oral anticoagulants and perform bridging therapy using heparin (UFH) during the perioperative period. The patient did not experience thromboembolic events or bleeding before, during, and after surgery."
CHK_EVAL_29,PPR_751ec67b,Guidelines recommend careful consideration of anticoagulation interruption in patients with mechanical heart valves.
CHK_EVAL_30,PPR_30a00516,"Title: Pulmonary Hypertension in Pregnancy: A Case Report
Abstract: A 38-year-old G4P1A2 at 31-week gestational age complained of shortness of breath for 5 days. Physical examination revealed blood pressure was 107/62 mmHg, Heart Rate was 98 beats per minute, respiration 40x per minute, and SpO2 88% with NRM 10 Lpm. The heart examination obtained heart sound I-II regular and a systolic murmur was heard between the left 2nd ribs. Abdominal examination was single fetus, intrauterine, breech presentation, His(+), fetal heart rate 160 beats per minute. vaginal toucher 2 cm in labor. ultrasound examination singles fetal, transverse lies, with an estimated fetal weight of 1600 grams. Echocardiography finding: ASD II L to R shunt with LV EF 60%(T), 62% (S), dilated RA-RV, TR severe, MR mild, High Probability of Pulmonary Hypertension. The patient was diagnosed with Dyspnea, Pulmonary edema caused by cardiogenic, ASD II, High probability of PH, NYHA IV, and Breech presentation in labor. Decided to perform a caesarian section and sterilization. The Male baby was born with 1570 grams Apgar Score 3-5-7. post operation patient was admitted to ICU."
CHK_EVAL_31,PPR_30a00516,"Twelve hours after the operation the patient had decreased control and became a PH crisis then the patient was declared dead. Results: The death of the patient, in this case, was caused by cardiogenic shock due to Pulmonary Hypertension Crisis. Conclusion: Early diagnosis along with collaborative and comprehensive management of pulmonary hypertension is needed for good maternal and fetal outcomes."
CHK_EVAL_32,PPR_d51d3e82,"Title: Re-Infection of COVID-19 at Dr. Moewardi General Hospital, Surakarta, from March 2020 to June 2021
Abstract: Background: COVID-19 reinfection has been identified and is being studied. Several risk factors, including being a health worker and having A blood type, are linked to reinfection, and comorbidities such as hypertension, obesity, diabetes, and asthma influence the disease's severity. To identify mutational variations associated with viral virulence and spread, genetic studies are required. The purpose of this study is to determine the prevalence of SARS-CoV-2 reinfection, as well as patient characteristics and risk factors related to SARS-CoV-2 reinfection. Methods: This is a retrospective cohort study using data from the medical records of patients with COVID-19 reinfection treated at the Dr. Moewardi General Hospital (RSDM) Surakarta from March 2020 to June 2021. A sample was collected from 19 men and 20 women. The degree of COVID-19 infection is the dependent variable. Gender, occupation, comorbidities, and immunization history were the independent variables. The entire sampling method was employed in this investigation (consecutive sampling). Data is handled in Microsoft Excel 2010, and statistical analysis is performed in SPSS version 20.0. Results: COVID-19 re-infection is equally likely in men and women. The average patient age was 42 years, with patients ranging in age from 25 to 73 years. Patients in the study were classified as either health workers or non-health workers, with 29 (76.3%) and 9 (23.7%) respectively. The average period of COVID-19 re-infection is 197.6 +/- 97 days without genomic sequence investigation. Comorbidities were discovered in 11 of 38 COVID-19 reinfection patients (29%). Only 6 individuals (15.8%) with COVID-19 reinfection had a history of vaccination. Conclusion: Using convalescent plasma to treat patients with COVID-19 is a rather safe practice. Our analysis demonstrated that the administration of convalescent plasma did not enhance survival or clinical outcomes for COVID-19 patients with moderate to severe disease. Keywords: COVID-19, COVID-19 reinfection, health workers, comorbidity

Correspondence: Jatu Aphridasari. Department of Pulmonology and Respiratory Medicine, Dr. Moewardi General Hospital, Surakarta – Indonesia. jatuparu@staff.uns.ac.id."
CHK_EVAL_33,PPR_d51d3e82,Mobile: +62812899913292.
CHK_EVAL_34,PPR_d51d3e82,"Cite this as: Aphridasari J (2023). Re-Infection of COVID-19 at Dr. Moewardi General Hospital, Surakarta, from March 2020 to June 2021. Indones J Med. 08(04): 366-375. https://doi.org/10.26911/theijmed.2023.08.04.03."
CHK_EVAL_35,PPR_bfbc8fcb,"Title: A case of Lhermitte-Duclos disease: the classical ‘tiger stripes’ in magnetic resonance imaging
Abstract: Dysplastic gangliocytoma or Lhermitte-Duclos disease (LDD) is a rare benign cerebellar tumor often presenting with nonspecific symptoms such as intracranial hypertension, cerebellar dysfunction, or cranial nerve deficits, and associated with phacomatosis. The characteristic ‘tiger stripe’ sign on magnetic resonance imaging (MRI) is highly suggestive of LDD, though nodular medulloblastoma remains an important differential diagnosis. We report a 51-year-old woman with arm and leg phacomatosis who presented with a right cerebellar hypodense lesion on computed tomography extending frontally. MRI demonstrated the hallmark ‘tiger stripe’ appearance, and histopathology following surgery confirmed LDD."
CHK_EVAL_36,PPR_bfbc8fcb,"On follow-up, despite evidence of a recurrent mass on MRI, her cranial nerve paresis improved postoperatively. Imaging revealed hypointense striations on T1 and alternating linear hyperintensities on T2 sequences, obscuring the cerebellar folia, features that distinguish LDD from other cerebellar tumors. This case underscores the diagnostic value of MRI, emphasizing early recognition to prevent misdiagnosis and guide surgical planning."
CHK_EVAL_37,PPR_323f38d5,"Title: Gefitinib or Carboplatin–Paclitaxel in Pulmonary Adenocarcinoma
Abstract: In this phase 3, open-label study, previously untreated patients in East Asia with advanced pulmonary adenocarcinoma and who were nonsmokers or former light smokers were randomly assigned to receive gefitinib (250 mg per day) or carboplatin (at a dose calculated to produce an area under the curve of 5 or 6 mg per milliliter per minute) plus paclitaxel (200 mg per square meter of body-surface area). The primary end point was progression-free survival."
CHK_EVAL_38,PPR_323f38d5,"The 12-month rates of progression-free survival were 24.9% with gefitinib and 6.7% with carboplatin-paclitaxel. The study met its primary objective of showing the noninferiority of gefitinib and also showed its superiority, as compared with carboplatin-paclitaxel, with respect to progression-free survival in the intention-to-treat population (hazard ratio for progression or death, 0.74; 95% CI, 0.65 to 0.85; P<0.001). In the subgroup of 261 patients who were positive for the epidermal growth factor receptor gene (EGFR) mutation, progression-free survival was significantly longer among those who received gefitinib than among those who received carboplatin-paclitaxel (hazard ratio for progression or death, 0.48; 95% CI, 0.36 to 0.64; P<0.001), whereas in the subgroup of 176 patients who were negative for the mutation, progression-free survival was significantly longer among those who received carboplatin-paclitaxel (hazard ratio for progression or death with gefitinib, 2.85; 95% CI, 2.05 to 3.98; P<0.001). The most common adverse events were rash or acne (in 66.2% of patients) and diarrhea (46.6%) in the gefitinib group and neurotoxic effects (69.9%), neutropenia (67.1%), and alopecia (58.4%) in the carboplatin-paclitaxel group."
CHK_EVAL_39,PPR_6f66467e,"Title: Determining Human Resource Management in the Madrasah Aliyah Al-Mathitiriyah Rupit District
Abstract: This study aimed to determine human resource management in the Madrasah Aliyah Al-Mathitiriyah Rupit District. It employed qualitative research with descriptive analytical methods, which systematically explained the discussion material from various sources for later analysis to obtain results as a conclusion."
CHK_EVAL_40,PPR_6f66467e,"Principals were found to be instrumental in increasing and motivating teachers, staff/employees, and improving student achievement. They provided opportunities and opportunities for teachers to participate in education and training held by the government and continued higher level studies. The head of MA Al-Mathitiriyah carried out planning, professional development, and field expertise, and was able to give awards and impose penalties if the teacher violated the code of ethics. Keywords: Human Resource Management, Performance."
CHK_EVAL_41,PPR_3c30718a,"Title: The global distribution of the arbovirus vectors Aedes aegypti and Ae. albopictus
Abstract: Dengue and chikungunya are increasing global public health concerns due to their rapid geographical spread and increasing disease burden. Knowledge of the contemporary distribution of their shared vectors, Aedes aegypti and Aedes albopictus, remains incomplete and is complicated by an ongoing range expansion fuelled by increased global trade and travel. Mapping the global distribution of these vectors and the geographical determinants of their ranges is essential for public health planning. Here we compile the largest contemporary database for both species and pair it with relevant environmental variables predicting their global distribution."
CHK_EVAL_42,PPR_3c30718a,"We show Aedes distributions to be the widest ever recorded; now extensive in all continents, including North America and Europe. These maps will help define the spatial limits of current autochthonous transmission of dengue and chikungunya viruses. It is only with this kind of rigorous entomological baseline that we can hope to project future health impacts of these viruses."
CHK_EVAL_43,PPR_618b7055,"Title: The Effect of HPMC Concentration Variations as a Gelling Agent on the Physical Quality of Hydrogel Formulations Containing Ethanol Extract of Impatiens balsamina L. Herb
Abstract: This study aimed to evaluate the effect of varying HPMC concentrations on the physical quality of hydrogel formulations containing ethanol extract of Impatiens balsamina L. herb. Hydrogel formulations were prepared with varying concentrations of hydroxypropyl methylcellulose (HPMC) at 1%, 2%, and 3% as the gelling agent. Each formulation was evaluated for physical quality parameters, including organoleptic properties, homogeneity, spreadability, adhesiveness, and pH value, following standard topical formulation testing procedures."
CHK_EVAL_44,PPR_618b7055,"The evaluation results showed that all formulations exhibited good homogeneity and pH values within the safe range for skin application. Increasing HPMC concentration did not visually affect the color of the formulations; however, it influenced the formulation consistency, decreased spreadability, and increased adhesiveness. The formulation with 2% HPMC concentration demonstrated the most optimal physical characteristics for topical application."
CHK_EVAL_45,PPR_2620bb35,"Title: Older Adults Exhibit a Nine-Fold Increased Risk of Type 2 Diabetes Mellitus: Evidence from a Hospital-Based Cross-Sectional Analysis
Abstract: Background: Type 2 diabetes mellitus represents a significant global health burden with increasing prevalence worldwide. Age and gender are recognized as important demographic risk factors influencing diabetes incidence. This study aimed to determine the relationship between age and gender with the incidence rate of type 2 diabetes mellitus at Bhayangkara Pusdik Brimob Watukosek Hospital. Methods: This cross-sectional study conducted at internal medicine polyclinic, Bhayangkara Pusdik Brimob Watukosek Hospital, Pasuruan, East Java, Indonesia, from October 2020 to May 2021. Study subjects of 250 patients were selected using total sampling technique. Secondary data from medical records were analyzed using odds ratio calculations to determine associations between age (categorized as high-risk ≥45 years vs low-risk <45 years) and gender with type 2 diabetes mellitus incidence. Data were analyzed using a multiple logistic regression. Results: Among 250 respondents, 140 (56.00%) were diagnosed with type 2 diabetes mellitus. High-risk age group comprised 136 respondents (54.40%), with 107 (76.40%) having diabetes."
CHK_EVAL_46,PPR_2620bb35,"Female respondents totaled 148 (59.20%), with 80 (57.10%) having diabetes. Age demonstrated significant association with diabetes incidence (OR= 9.06; 95% CI= 5.15 to 15.93; p<0.001), indicating that high-risk age individuals were nine times more likely to develop diabetes compared to low-risk age individuals. Gender showed no significant association with diabetes incidence (OR= 0.82; 95% CI= 0.48 to 1.41; p=0.475). Conclusion: Age has a significant relationship with type 2 diabetes mellitus, while gender shows no significant association."
CHK_EVAL_47,PPR_0001c991,"Title: Guttate Psoriasis Flare Following the Third Dose of mRNA COVID-19 Vaccine in a 36-Year-Old Male: A Case Report
Abstract: We report the case of a 36-year-old male with a history of guttate psoriasis that occurred seven years prior, which resolved spontaneously without recurrence. The patient had remained disease-free until five days after receiving a third (booster) dose of an mRNA COVID-19 vaccine, when he developed a sudden, widespread eruption of erythematous, drop-like papules and small plaques, predominantly involving the trunk and extremities. Initial management with topical corticosteroids yielded minimal response."
CHK_EVAL_48,PPR_0001c991,"Skin biopsy revealed histopathological features consistent with psoriasis. The patient was subsequently started on low-dose methotrexate, resulting in significant clinical improvement within four weeks."
CHK_EVAL_49,PPR_4ff042c5,"Title: Correlation of Brixia Score Changes with Length of Stay in Patient with COVID-19
Abstract: This cross-sectional study aimed to analyze the correlation of Brixia score with the length of hospitalization in Covid-19 patients. The samples were Covid-19 confirmed patients treated at Sumber Waras hospital. The independent variable was Brixia score and the dependent variable was length of hospitalization."
CHK_EVAL_50,PPR_4ff042c5,"The data was analyzed using KruskallWallis method, Mann- Whitney U test, and linear regression. There were 190 samples with a median score of Brixia at the beginning of treatment as 4 (range 0 - 18) and a median score of Brixia on serial examination as 6 (range 0 - 18). Patients in low to low category had median 10 days length of hospitalization, low to high category and high to low category had median 11 days, and high to high category had median 8 days. There was no statistically significant correlation between Brixia score and length of hospitalization (p _=_ 0.377)."
CHK_EVAL_51,PPR_92d9bd08,"Title: Smoking Cessation Intention Among Indonesian Smokers: The Role of Health Knowledge and Anti-smoking Advertising
Abstract: Purpose: To examine the association between knowledge of smoking-related diseases, exposure to anti-smoking advertising, sociodemographic factors with smoking cessation intention among current smokers. Design: A quantitative cross-sectional design using secondary data from the 2021 Global Adult Tobacco Survey (GATS) Indonesia. Setting: A nationally representative dataset covering Indonesian adults. Sample: A total of 2874 adult current smokers aged 15 years and above."
CHK_EVAL_52,PPR_92d9bd08,"Measures: Key variables included respondents' knowledge of smoking-related diseases (lung cancer, heart attack, and stroke) and exposure to anti-smoking messages through five media channels: television, radio, newspapers, billboards, and the internet. Analysis: Complex sample logistic regression to identify predictors of cessation intention while adjusting for sociodemographic factors. Results: 42.7% of smokers expressed an intention to quit. Knowledge of smoking-related diseases-particularly lung cancer-and exposure to anti-smoking messages via the internet were significant predictors of quit intention. Traditional media exposure and general health knowledge showed comparatively weaker associations. Conclusion: These findings suggest that targeted tobacco control interventions should strengthen disease-specific health education and prioritize digital media strategies to enhance smoking cessation intention across diverse population groups."
CHK_EVAL_53,PPR_7549af6b,"Title: Smoking, Nutritional Status, and Their Associations with Hypertension and Hematological Disorders Among Hotel Workers: Implications for Indonesian Occupational Health Nursing
Abstract: Smoking remains one of the leading preventable causes of chronic disease and premature workplace mortality worldwide. This study examined the association between smoking and nutritional status and hypertension and hematological disorders among hotel workers and occupational health nurses' role in Indonesia. This cross-sectional study examined associations between smoking, nutritional status, and selected health outcomes among 366 hotel workers in Indonesia using routine medical check-up data. Logistic regression analyses were performed to assess the associations of smoking status and body mass index (BMI) categories with hypertension and hematological abnormalities (leukocytosis and anemia), after adjusting for age, gender, and job level. Older workers (40-69 years) and those categorized as overweight or obese had higher odds of hypertension than younger workers and those with normal BMI (ORs 2.63 and 1.37, respectively). Smoking was associated with a higher risk of leukocytosis (OR 0.395), reflecting increased risk among smokers due to variable coding. Older age and overweight status were strong predictors of hypertension, whereas smoking was associated with increased leukocytosis among hotel workers. These findings highlight the need for targeted OH interventions."
CHK_EVAL_54,PPR_7549af6b,Occupational health nurses should collaborate with management to strengthen WHP programs that encourage healthier lifestyles among employees.
CHK_EVAL_55,PPR_fffc4546,"Title: The Burden and Risk Factors of Head and Neck Cancers in G20 Countries, 1990-2023. Abstract: Head and neck cancers (HNC) rank as the sixth most common cancers globally, yet comprehensive epidemiology among the Group of Twenty (G20) nations is lacking. This secondary analysis of Global Burden of Disease 2023 data systematically assessed the spatiotemporal trends, population disparities and risk-attributable burden (excluding viral factors) of age-standardised rates for HNC across G20 countries. Future trends were forecast using an autoregressive integrated moving average (ARIMA) model. In 2023, lip and oral cavity cancer (LOCC) presented the highest burden among HNC subtypes across the G20, with an age-standardised incidence rate (ASIR) of 4.52 per 100,000, corresponding to 283,441 new cases. India carried the highest burden of LOCC, China that of nasopharyngeal carcinoma (NPC) and France that of laryngeal and other pharyngeal cancers (LC/OPC). From 1990 to 2023, LOCC and OPC incidence rose overall while LC and NPC declined."
